etfCode,name,codeType,hasMetadata,coverageScore,holdingsCount,hasIssuer,hasFee,hasDistribution,taggedTagCount,tags
0000D0,TIGER 엔비디아미국채커버드콜밸런스(합성),naver_internal_unresolved,Y,0.55,0,Y,Y,Y,2,dividend.covered_call|dividend.monthly
0000H0,KODEX 인도Nifty미드캡100,naver_internal_unresolved,N,,0,N,N,N,0,
0000J0,PLUS 한화그룹주,naver_internal_unresolved,Y,0.35,10,N,N,N,0,
0000Y0,HK 26-12 회사채(AA-이상)액티브,naver_internal_unresolved,Y,0.55,0,Y,Y,Y,0,
0000Z0,RISE 바이오TOP10액티브,naver_internal_unresolved,Y,0.45,10,N,N,N,1,sector.healthcare_bio_pharma
0001P0,마이티 바이오시밀러&CDMO액티브,naver_internal_unresolved,Y,0.45,10,N,N,N,1,sector.healthcare_bio_pharma
0002C0,에셋플러스 인도일등기업포커스20액티브,naver_internal_unresolved,N,,0,N,N,N,0,
0004G0,1Q 미국배당TOP30,naver_internal_unresolved,N,,0,N,N,N,0,
0005A0,KODEX 미국S&P500데일리커버드콜OTM,naver_internal_unresolved,N,,0,N,N,N,0,
0005C0,RISE 미국S&P500엔화노출(합성 H),naver_internal_unresolved,N,,0,N,N,N,0,
0005D0,SOL 전고체배터리&실리콘음극재,naver_internal_unresolved,Y,0.35,10,N,N,N,1,sector.ev_battery
0005G0,IBK K-AI반도체코어테크,naver_internal_unresolved,Y,0.75,20,Y,Y,Y,1,sector.semiconductor
0007F0,KODEX 27-12 회사채(AA-이상)액티브,naver_internal_unresolved,N,,0,N,N,N,0,
0007G0,PLUS 글로벌원자력밸류체인,naver_internal_unresolved,N,,0,N,N,N,0,
0007N0,아이엠에셋 200,naver_internal_unresolved,Y,0.35,10,N,N,N,0,
0008E0,ACE 미국중심중소형제조업,naver_internal_unresolved,N,,0,N,N,N,0,
0008S0,TIGER 미국배당다우존스타겟데일리커버드콜,naver_internal_unresolved,N,,0,N,N,N,0,
0008T0,SOL 화장품TOP3플러스,naver_internal_unresolved,Y,0.35,10,N,N,N,0,
0013P0,RISE 미국은행TOP10,naver_internal_unresolved,N,,0,N,N,N,0,
0013R0,RISE 테슬라미국채타겟커버드콜혼합(합성),naver_internal_unresolved,N,,0,N,N,N,0,
0015B0,KoAct 미국나스닥성장기업액티브,naver_internal_unresolved,N,,0,N,N,N,0,
0015E0,KIWOOM 엔비디아미국30년국채혼합액티브(H),naver_internal_unresolved,N,,0,N,N,N,0,
0015F0,KIWOOM 팔란티어미국30년국채혼합액티브(H),naver_internal_unresolved,N,,0,N,N,N,0,
0015K0,TIGER 미국소비트렌드액티브,naver_internal_unresolved,N,,0,N,N,N,0,
0016X0,SOL 중단기회사채(A-이상)액티브,naver_internal_unresolved,N,,0,N,N,N,0,
