etfCode,name,missingField,coverageScore
0000D0,TIGER 엔비디아미국채커버드콜밸런스(합성),descriptions,0.55
0000D0,TIGER 엔비디아미국채커버드콜밸런스(합성),holdings,0.55
0000D0,TIGER 엔비디아미국채커버드콜밸런스(합성),sectorCountryWeights,0.55
0000J0,PLUS 한화그룹주,issuer,0.35
0000J0,PLUS 한화그룹주,benchmarkName,0.35
0000J0,PLUS 한화그룹주,descriptions,0.35
0000J0,PLUS 한화그룹주,strategyFacts,0.35
0000J0,PLUS 한화그룹주,distribution,0.35
0000J0,PLUS 한화그룹주,sectorCountryWeights,0.35
0000J0,PLUS 한화그룹주,feesAndAssets,0.35
0000Y0,HK 26-12 회사채(AA-이상)액티브,descriptions,0.55
0000Y0,HK 26-12 회사채(AA-이상)액티브,holdings,0.55
0000Y0,HK 26-12 회사채(AA-이상)액티브,sectorCountryWeights,0.55
0000Z0,RISE 바이오TOP10액티브,issuer,0.45
0000Z0,RISE 바이오TOP10액티브,benchmarkName,0.45
0000Z0,RISE 바이오TOP10액티브,descriptions,0.45
0000Z0,RISE 바이오TOP10액티브,distribution,0.45
0000Z0,RISE 바이오TOP10액티브,sectorCountryWeights,0.45
0000Z0,RISE 바이오TOP10액티브,feesAndAssets,0.45
0001P0,마이티 바이오시밀러&CDMO액티브,issuer,0.45
0001P0,마이티 바이오시밀러&CDMO액티브,benchmarkName,0.45
0001P0,마이티 바이오시밀러&CDMO액티브,descriptions,0.45
0001P0,마이티 바이오시밀러&CDMO액티브,distribution,0.45
0001P0,마이티 바이오시밀러&CDMO액티브,sectorCountryWeights,0.45
0001P0,마이티 바이오시밀러&CDMO액티브,feesAndAssets,0.45
0005D0,SOL 전고체배터리&실리콘음극재,issuer,0.35
0005D0,SOL 전고체배터리&실리콘음극재,benchmarkName,0.35
0005D0,SOL 전고체배터리&실리콘음극재,descriptions,0.35
0005D0,SOL 전고체배터리&실리콘음극재,strategyFacts,0.35
0005D0,SOL 전고체배터리&실리콘음극재,distribution,0.35
0005D0,SOL 전고체배터리&실리콘음극재,sectorCountryWeights,0.35
0005D0,SOL 전고체배터리&실리콘음극재,feesAndAssets,0.35
0005G0,IBK K-AI반도체코어테크,descriptions,0.75
0005G0,IBK K-AI반도체코어테크,sectorCountryWeights,0.75
0007N0,아이엠에셋 200,issuer,0.35
0007N0,아이엠에셋 200,benchmarkName,0.35
0007N0,아이엠에셋 200,descriptions,0.35
0007N0,아이엠에셋 200,strategyFacts,0.35
0007N0,아이엠에셋 200,distribution,0.35
0007N0,아이엠에셋 200,sectorCountryWeights,0.35
0007N0,아이엠에셋 200,feesAndAssets,0.35
0008T0,SOL 화장품TOP3플러스,issuer,0.35
0008T0,SOL 화장품TOP3플러스,benchmarkName,0.35
0008T0,SOL 화장품TOP3플러스,descriptions,0.35
0008T0,SOL 화장품TOP3플러스,strategyFacts,0.35
0008T0,SOL 화장품TOP3플러스,distribution,0.35
0008T0,SOL 화장품TOP3플러스,sectorCountryWeights,0.35
0008T0,SOL 화장품TOP3플러스,feesAndAssets,0.35
0018C0,PLUS 고배당주위클리고정커버드콜,issuer,0.45
0018C0,PLUS 고배당주위클리고정커버드콜,benchmarkName,0.45
0018C0,PLUS 고배당주위클리고정커버드콜,descriptions,0.45
0018C0,PLUS 고배당주위클리고정커버드콜,distribution,0.45
0018C0,PLUS 고배당주위클리고정커버드콜,sectorCountryWeights,0.45
0018C0,PLUS 고배당주위클리고정커버드콜,feesAndAssets,0.45
0026S0,1Q 미국S&P500,descriptions,0.55
0026S0,1Q 미국S&P500,holdings,0.55
0026S0,1Q 미국S&P500,sectorCountryWeights,0.55
0049K0,ACE 미국배당퀄리티채권혼합50,descriptions,0.55
0049K0,ACE 미국배당퀄리티채권혼합50,holdings,0.55
0049K0,ACE 미국배당퀄리티채권혼합50,sectorCountryWeights,0.55
0052D0,TIGER 코리아배당다우존스,issuer,0.35
0052D0,TIGER 코리아배당다우존스,benchmarkName,0.35
0052D0,TIGER 코리아배당다우존스,descriptions,0.35
0052D0,TIGER 코리아배당다우존스,strategyFacts,0.35
0052D0,TIGER 코리아배당다우존스,distribution,0.35
0052D0,TIGER 코리아배당다우존스,sectorCountryWeights,0.35
0052D0,TIGER 코리아배당다우존스,feesAndAssets,0.35
0053M0,더제이 중소형포커스액티브,issuer,0.45
0053M0,더제이 중소형포커스액티브,benchmarkName,0.45
0053M0,더제이 중소형포커스액티브,descriptions,0.45
0053M0,더제이 중소형포커스액티브,distribution,0.45
0053M0,더제이 중소형포커스액티브,sectorCountryWeights,0.45
0053M0,더제이 중소형포커스액티브,feesAndAssets,0.45
0074K0,KoAct K수출핵심기업TOP30액티브,issuer,0.45
0074K0,KoAct K수출핵심기업TOP30액티브,benchmarkName,0.45
0074K0,KoAct K수출핵심기업TOP30액티브,descriptions,0.45
0074K0,KoAct K수출핵심기업TOP30액티브,distribution,0.45
0074K0,KoAct K수출핵심기업TOP30액티브,sectorCountryWeights,0.45
0074K0,KoAct K수출핵심기업TOP30액티브,feesAndAssets,0.45
0080G0,KODEX 방산TOP10,descriptions,0.75
0080G0,KODEX 방산TOP10,sectorCountryWeights,0.75
0080Y0,SOL 조선TOP3플러스레버리지,descriptions,0.75
0080Y0,SOL 조선TOP3플러스레버리지,sectorCountryWeights,0.75
0086B0,TIGER 리츠부동산인프라TOP10액티브,issuer,0.45
0086B0,TIGER 리츠부동산인프라TOP10액티브,benchmarkName,0.45
0086B0,TIGER 리츠부동산인프라TOP10액티브,descriptions,0.45
0086B0,TIGER 리츠부동산인프라TOP10액티브,distribution,0.45
0086B0,TIGER 리츠부동산인프라TOP10액티브,sectorCountryWeights,0.45
0086B0,TIGER 리츠부동산인프라TOP10액티브,feesAndAssets,0.45
0086C0,TIGER 리츠부동산인프라10채권혼합액티브,issuer,0.45
0086C0,TIGER 리츠부동산인프라10채권혼합액티브,benchmarkName,0.45
0086C0,TIGER 리츠부동산인프라10채권혼합액티브,descriptions,0.45
0086C0,TIGER 리츠부동산인프라10채권혼합액티브,distribution,0.45
0086C0,TIGER 리츠부동산인프라10채권혼합액티브,sectorCountryWeights,0.45
0086C0,TIGER 리츠부동산인프라10채권혼합액티브,feesAndAssets,0.45
0088N0,WON K-글로벌수급상위,issuer,0.35
0088N0,WON K-글로벌수급상위,benchmarkName,0.35
0088N0,WON K-글로벌수급상위,descriptions,0.35
0088N0,WON K-글로벌수급상위,strategyFacts,0.35
0088N0,WON K-글로벌수급상위,distribution,0.35
0088N0,WON K-글로벌수급상위,sectorCountryWeights,0.35
0088N0,WON K-글로벌수급상위,feesAndAssets,0.35
0089D0,KODEX 금융고배당TOP10,issuer,0.35
0089D0,KODEX 금융고배당TOP10,benchmarkName,0.35
0089D0,KODEX 금융고배당TOP10,descriptions,0.35
0089D0,KODEX 금융고배당TOP10,strategyFacts,0.35
0089D0,KODEX 금융고배당TOP10,distribution,0.35
0089D0,KODEX 금융고배당TOP10,sectorCountryWeights,0.35
0089D0,KODEX 금융고배당TOP10,feesAndAssets,0.35
0090B0,PLUS K방산소부장,issuer,0.35
0090B0,PLUS K방산소부장,benchmarkName,0.35
0090B0,PLUS K방산소부장,descriptions,0.35
0090B0,PLUS K방산소부장,strategyFacts,0.35
0090B0,PLUS K방산소부장,distribution,0.35
0090B0,PLUS K방산소부장,sectorCountryWeights,0.35
0090B0,PLUS K방산소부장,feesAndAssets,0.35
0091P0,TIGER 코리아원자력,issuer,0.35
0091P0,TIGER 코리아원자력,benchmarkName,0.35
0091P0,TIGER 코리아원자력,descriptions,0.35
0091P0,TIGER 코리아원자력,strategyFacts,0.35
0091P0,TIGER 코리아원자력,distribution,0.35
0091P0,TIGER 코리아원자력,sectorCountryWeights,0.35
0091P0,TIGER 코리아원자력,feesAndAssets,0.35
0092B0,SOL 한국원자력SMR,issuer,0.35
0092B0,SOL 한국원자력SMR,benchmarkName,0.35
0092B0,SOL 한국원자력SMR,descriptions,0.35
0092B0,SOL 한국원자력SMR,strategyFacts,0.35
0092B0,SOL 한국원자력SMR,distribution,0.35
0092B0,SOL 한국원자력SMR,sectorCountryWeights,0.35
0092B0,SOL 한국원자력SMR,feesAndAssets,0.35
0093A0,RISE AI반도체TOP10,issuer,0.35
0093A0,RISE AI반도체TOP10,benchmarkName,0.35
0093A0,RISE AI반도체TOP10,descriptions,0.35
0093A0,RISE AI반도체TOP10,strategyFacts,0.35
0093A0,RISE AI반도체TOP10,distribution,0.35
0093A0,RISE AI반도체TOP10,sectorCountryWeights,0.35
0093A0,RISE AI반도체TOP10,feesAndAssets,0.35
0094M0,RISE 코리아밸류업위클리고정커버드콜,issuer,0.45
0094M0,RISE 코리아밸류업위클리고정커버드콜,benchmarkName,0.45
0094M0,RISE 코리아밸류업위클리고정커버드콜,descriptions,0.45
0094M0,RISE 코리아밸류업위클리고정커버드콜,distribution,0.45
0094M0,RISE 코리아밸류업위클리고정커버드콜,sectorCountryWeights,0.45
0094M0,RISE 코리아밸류업위클리고정커버드콜,feesAndAssets,0.45
0098F0,KODEX 원자력SMR,issuer,0.35
0098F0,KODEX 원자력SMR,benchmarkName,0.35
0098F0,KODEX 원자력SMR,descriptions,0.35
0098F0,KODEX 원자력SMR,strategyFacts,0.35
0098F0,KODEX 원자력SMR,distribution,0.35
0098F0,KODEX 원자력SMR,sectorCountryWeights,0.35
0098F0,KODEX 원자력SMR,feesAndAssets,0.35
0098N0,PLUS 자사주매입고배당주,issuer,0.35
0098N0,PLUS 자사주매입고배당주,benchmarkName,0.35
0098N0,PLUS 자사주매입고배당주,descriptions,0.35
0098N0,PLUS 자사주매입고배당주,strategyFacts,0.35
0098N0,PLUS 자사주매입고배당주,distribution,0.35
0098N0,PLUS 자사주매입고배당주,sectorCountryWeights,0.35
0098N0,PLUS 자사주매입고배당주,feesAndAssets,0.35
0098Z0,FOCUS 200,issuer,0.35
0098Z0,FOCUS 200,benchmarkName,0.35
0098Z0,FOCUS 200,descriptions,0.35
0098Z0,FOCUS 200,strategyFacts,0.35
0098Z0,FOCUS 200,distribution,0.35
0098Z0,FOCUS 200,sectorCountryWeights,0.35
0098Z0,FOCUS 200,feesAndAssets,0.35
0100K0,KODEX 방산TOP10레버리지,issuer,0.45
0100K0,KODEX 방산TOP10레버리지,benchmarkName,0.45
0100K0,KODEX 방산TOP10레버리지,descriptions,0.45
0100K0,KODEX 방산TOP10레버리지,distribution,0.45
0100K0,KODEX 방산TOP10레버리지,sectorCountryWeights,0.45
0100K0,KODEX 방산TOP10레버리지,feesAndAssets,0.45
0101N0,RISE AI전력인프라,issuer,0.35
0101N0,RISE AI전력인프라,benchmarkName,0.35
0101N0,RISE AI전력인프라,descriptions,0.35
0101N0,RISE AI전력인프라,strategyFacts,0.35
0101N0,RISE AI전력인프라,distribution,0.35
0101N0,RISE AI전력인프라,sectorCountryWeights,0.35
0101N0,RISE AI전력인프라,feesAndAssets,0.35
0103T0,1Q K소버린AI,issuer,0.35
0103T0,1Q K소버린AI,benchmarkName,0.35
0103T0,1Q K소버린AI,descriptions,0.35
0103T0,1Q K소버린AI,strategyFacts,0.35
0103T0,1Q K소버린AI,distribution,0.35
0103T0,1Q K소버린AI,sectorCountryWeights,0.35
0103T0,1Q K소버린AI,feesAndAssets,0.35
0104G0,PLUS K방산레버리지,issuer,0.45
0104G0,PLUS K방산레버리지,benchmarkName,0.45
0104G0,PLUS K방산레버리지,descriptions,0.45
0104G0,PLUS K방산레버리지,distribution,0.45
0104G0,PLUS K방산레버리지,sectorCountryWeights,0.45
0104G0,PLUS K방산레버리지,feesAndAssets,0.45
0104N0,TIGER 200타겟위클리커버드콜,issuer,0.45
0104N0,TIGER 200타겟위클리커버드콜,benchmarkName,0.45
0104N0,TIGER 200타겟위클리커버드콜,descriptions,0.45
0104N0,TIGER 200타겟위클리커버드콜,distribution,0.45
0104N0,TIGER 200타겟위클리커버드콜,sectorCountryWeights,0.45
0104N0,TIGER 200타겟위클리커버드콜,feesAndAssets,0.45
0104P0,TIGER 코리아배당다우존스위클리커버드콜,issuer,0.45
0104P0,TIGER 코리아배당다우존스위클리커버드콜,benchmarkName,0.45
0104P0,TIGER 코리아배당다우존스위클리커버드콜,descriptions,0.45
0104P0,TIGER 코리아배당다우존스위클리커버드콜,distribution,0.45
0104P0,TIGER 코리아배당다우존스위클리커버드콜,sectorCountryWeights,0.45
0104P0,TIGER 코리아배당다우존스위클리커버드콜,feesAndAssets,0.45
0105D0,SOL 한국AI소프트웨어,issuer,0.35
0105D0,SOL 한국AI소프트웨어,benchmarkName,0.35
0105D0,SOL 한국AI소프트웨어,descriptions,0.35
0105D0,SOL 한국AI소프트웨어,strategyFacts,0.35
0105D0,SOL 한국AI소프트웨어,distribution,0.35
0105D0,SOL 한국AI소프트웨어,sectorCountryWeights,0.35
0105D0,SOL 한국AI소프트웨어,feesAndAssets,0.35
0105E0,SOL 코리아고배당,issuer,0.35
0105E0,SOL 코리아고배당,benchmarkName,0.35
0105E0,SOL 코리아고배당,descriptions,0.35
0105E0,SOL 코리아고배당,strategyFacts,0.35
0105E0,SOL 코리아고배당,distribution,0.35
0105E0,SOL 코리아고배당,sectorCountryWeights,0.35
0105E0,SOL 코리아고배당,feesAndAssets,0.35
0111J0,HANARO 증권고배당TOP3플러스,issuer,0.35
0111J0,HANARO 증권고배당TOP3플러스,benchmarkName,0.35
0111J0,HANARO 증권고배당TOP3플러스,descriptions,0.35
0111J0,HANARO 증권고배당TOP3플러스,strategyFacts,0.35
0111J0,HANARO 증권고배당TOP3플러스,distribution,0.35
0111J0,HANARO 증권고배당TOP3플러스,sectorCountryWeights,0.35
0111J0,HANARO 증권고배당TOP3플러스,feesAndAssets,0.35
0112X0,마이티 200TR,issuer,0.35
0112X0,마이티 200TR,benchmarkName,0.35
0112X0,마이티 200TR,descriptions,0.35
0112X0,마이티 200TR,strategyFacts,0.35
0112X0,마이티 200TR,distribution,0.35
0112X0,마이티 200TR,sectorCountryWeights,0.35
0112X0,마이티 200TR,feesAndAssets,0.35
0115D0,KODEX 조선TOP10,issuer,0.35
0115D0,KODEX 조선TOP10,benchmarkName,0.35
0115D0,KODEX 조선TOP10,descriptions,0.35
0115D0,KODEX 조선TOP10,strategyFacts,0.35
0115D0,KODEX 조선TOP10,distribution,0.35
0115D0,KODEX 조선TOP10,sectorCountryWeights,0.35
0115D0,KODEX 조선TOP10,feesAndAssets,0.35
0115E0,KODEX 코리아소버린AI,issuer,0.35
0115E0,KODEX 코리아소버린AI,benchmarkName,0.35
0115E0,KODEX 코리아소버린AI,descriptions,0.35
0115E0,KODEX 코리아소버린AI,strategyFacts,0.35
0115E0,KODEX 코리아소버린AI,distribution,0.35
0115E0,KODEX 코리아소버린AI,sectorCountryWeights,0.35
0115E0,KODEX 코리아소버린AI,feesAndAssets,0.35
0117V0,TIGER 코리아AI전력기기TOP3플러스,issuer,0.35
0117V0,TIGER 코리아AI전력기기TOP3플러스,benchmarkName,0.35
0117V0,TIGER 코리아AI전력기기TOP3플러스,descriptions,0.35
0117V0,TIGER 코리아AI전력기기TOP3플러스,strategyFacts,0.35
0117V0,TIGER 코리아AI전력기기TOP3플러스,distribution,0.35
0117V0,TIGER 코리아AI전력기기TOP3플러스,sectorCountryWeights,0.35
0117V0,TIGER 코리아AI전력기기TOP3플러스,feesAndAssets,0.35
0120J0,BNK 카카오그룹포커스,issuer,0.35
0120J0,BNK 카카오그룹포커스,benchmarkName,0.35
0120J0,BNK 카카오그룹포커스,descriptions,0.35
0120J0,BNK 카카오그룹포커스,strategyFacts,0.35
0120J0,BNK 카카오그룹포커스,distribution,0.35
0120J0,BNK 카카오그룹포커스,sectorCountryWeights,0.35
0120J0,BNK 카카오그룹포커스,feesAndAssets,0.35
0138D0,RISE 동학개미,issuer,0.35
0138D0,RISE 동학개미,benchmarkName,0.35
0138D0,RISE 동학개미,descriptions,0.35
0138D0,RISE 동학개미,strategyFacts,0.35
0138D0,RISE 동학개미,distribution,0.35
0138D0,RISE 동학개미,sectorCountryWeights,0.35
0138D0,RISE 동학개미,feesAndAssets,0.35
0139P0,ACE 고배당주,issuer,0.35
0139P0,ACE 고배당주,benchmarkName,0.35
0139P0,ACE 고배당주,descriptions,0.35
0139P0,ACE 고배당주,strategyFacts,0.35
0139P0,ACE 고배당주,distribution,0.35
0139P0,ACE 고배당주,sectorCountryWeights,0.35
0139P0,ACE 고배당주,feesAndAssets,0.35
0141S0,SOL 조선기자재,issuer,0.35
0141S0,SOL 조선기자재,benchmarkName,0.35
0141S0,SOL 조선기자재,descriptions,0.35
0141S0,SOL 조선기자재,strategyFacts,0.35
0141S0,SOL 조선기자재,distribution,0.35
0141S0,SOL 조선기자재,sectorCountryWeights,0.35
0141S0,SOL 조선기자재,feesAndAssets,0.35
0148J0,TIGER 코리아휴머노이드로봇산업,issuer,0.35
0148J0,TIGER 코리아휴머노이드로봇산업,benchmarkName,0.35
0148J0,TIGER 코리아휴머노이드로봇산업,descriptions,0.35
0148J0,TIGER 코리아휴머노이드로봇산업,strategyFacts,0.35
