universeKey,shortCode,name,status,score,grade,provenanceSelected,provenanceBacked,regionEligibility,regionEvidence,sectorEligibility,sectorEvidence,dividendEligibility,dividendEvidence
0000D0,0000D0,TIGER 엔비디아미국채커버드콜밸런스(합성),partial,68,B,12,12,unknown,n/a,unknown,n/a,eligible,insufficient
0000H0,0000H0,KODEX 인도Nifty미드캡100,partial,25,D,6,6,unknown,n/a,unknown,n/a,unknown,n/a
0000J0,0000J0,PLUS 한화그룹주,partial,76,A,11,11,unknown,n/a,unknown,n/a,unknown,n/a
0000Y0,0000Y0,HK 26-12 회사채(AA-이상)액티브,partial,33,C,9,9,unknown,n/a,unknown,n/a,eligible,insufficient
0000Z0,0000Z0,RISE 바이오TOP10액티브,partial,76,A,12,12,unknown,n/a,unknown,n/a,unknown,n/a
0001P0,0001P0,마이티 바이오시밀러&CDMO액티브,partial,40,C,8,8,unknown,n/a,unknown,n/a,unknown,n/a
0002C0,0002C0,에셋플러스 인도일등기업포커스20액티브,partial,25,D,6,6,unknown,n/a,unknown,n/a,unknown,n/a
0004G0,0004G0,1Q 미국배당TOP30,partial,53,C,10,10,unknown,n/a,unknown,n/a,unknown,n/a
0005A0,0005A0,KODEX 미국S&P500데일리커버드콜OTM,partial,25,D,6,6,unknown,n/a,unknown,n/a,unknown,n/a
0005C0,0005C0,RISE 미국S&P500엔화노출(합성 H),partial,61,B,10,10,unknown,n/a,unknown,n/a,unknown,n/a
0005D0,0005D0,SOL 전고체배터리&실리콘음극재,partial,76,A,11,11,unknown,n/a,unknown,n/a,unknown,n/a
0005G0,0005G0,IBK K-AI반도체코어테크,partial,48,C,9,9,unknown,n/a,unknown,n/a,eligible,insufficient
0007F0,0007F0,KODEX 27-12 회사채(AA-이상)액티브,partial,25,D,6,6,unknown,n/a,unknown,n/a,unknown,n/a
0007G0,0007G0,PLUS 글로벌원자력밸류체인,partial,61,B,10,10,unknown,n/a,unknown,n/a,unknown,n/a
0007N0,0007N0,아이엠에셋 200,partial,40,C,7,7,unknown,n/a,unknown,n/a,unknown,n/a
0008E0,0008E0,ACE 미국중심중소형제조업,partial,25,D,6,6,unknown,n/a,unknown,n/a,unknown,n/a
0008S0,0008S0,TIGER 미국배당다우존스타겟데일리커버드콜,partial,68,B,11,11,unknown,n/a,unknown,n/a,unknown,n/a
0008T0,0008T0,SOL 화장품TOP3플러스,partial,76,A,11,11,unknown,n/a,unknown,n/a,unknown,n/a
0013P0,0013P0,RISE 미국은행TOP10,partial,61,B,10,10,unknown,n/a,unknown,n/a,unknown,n/a
0013R0,0013R0,RISE 테슬라미국채타겟커버드콜혼합(합성),partial,61,B,10,10,unknown,n/a,unknown,n/a,unknown,n/a
0015B0,0015B0,KoAct 미국나스닥성장기업액티브,partial,53,C,10,10,unknown,n/a,unknown,n/a,unknown,n/a
0015E0,0015E0,KIWOOM 엔비디아미국30년국채혼합액티브(H),partial,25,D,6,6,unknown,n/a,unknown,n/a,unknown,n/a
0015F0,0015F0,KIWOOM 팔란티어미국30년국채혼합액티브(H),partial,25,D,6,6,unknown,n/a,unknown,n/a,unknown,n/a
0015K0,0015K0,TIGER 미국소비트렌드액티브,partial,68,B,11,11,unknown,n/a,unknown,n/a,unknown,n/a
0016X0,0016X0,SOL 중단기회사채(A-이상)액티브,partial,76,A,10,10,unknown,n/a,unknown,n/a,unknown,n/a
0017Y0,0017Y0,1Q 종합채권(AA-이상)액티브,partial,53,C,10,10,unknown,n/a,unknown,n/a,unknown,n/a
0018C0,0018C0,PLUS 고배당주위클리고정커버드콜,partial,76,A,11,11,unknown,n/a,unknown,n/a,unknown,n/a
0018Z0,0018Z0,RISE 미국양자컴퓨팅,partial,61,B,10,10,unknown,n/a,unknown,n/a,unknown,n/a
0019K0,0019K0,TIME 미국나스닥100채권혼합50액티브,partial,25,D,6,6,unknown,n/a,unknown,n/a,unknown,n/a
0020H0,0020H0,KoAct 글로벌양자컴퓨팅액티브,partial,53,C,10,10,unknown,n/a,unknown,n/a,unknown,n/a
0022T0,0022T0,SOL 국제금커버드콜액티브,partial,76,A,10,10,unknown,n/a,unknown,n/a,unknown,n/a
0023A0,0023A0,SOL 미국양자컴퓨팅TOP10,partial,76,A,11,11,unknown,n/a,unknown,n/a,unknown,n/a
0023B0,0023B0,PLUS 미국양자컴퓨팅TOP10,partial,61,B,10,10,unknown,n/a,unknown,n/a,unknown,n/a
0025N0,0025N0,TIGER TDF2045 적격,partial,68,B,11,11,unknown,n/a,unknown,n/a,unknown,n/a
0026E0,0026E0,KODEX 미국S&P500버퍼3월액티브,partial,25,D,6,6,unknown,n/a,unknown,n/a,unknown,n/a
0026S0,0026S0,1Q 미국S&P500,partial,53,C,11,11,unknown,n/a,unknown,n/a,eligible,insufficient
0028X0,0028X0,KODEX 미국금융테크액티브,partial,25,D,6,6,unknown,n/a,unknown,n/a,unknown,n/a
0035T0,0035T0,PLUS 글로벌휴머노이드로봇액티브,partial,61,B,10,10,unknown,n/a,unknown,n/a,unknown,n/a
0036D0,0036D0,TIME 미국배당다우존스액티브,partial,25,D,6,6,unknown,n/a,unknown,n/a,unknown,n/a
0036R0,0036R0,RISE 미국휴머노이드로봇,partial,61,B,10,10,unknown,n/a,unknown,n/a,unknown,n/a
0036Z0,0036Z0,RISE 미국천연가스밸류체인,partial,61,B,10,10,unknown,n/a,unknown,n/a,unknown,n/a
0038A0,0038A0,KODEX 미국휴머노이드로봇,partial,25,D,6,6,unknown,n/a,unknown,n/a,unknown,n/a
0040S0,0040S0,HANARO 글로벌피지컬AI액티브,partial,25,D,6,6,unknown,n/a,unknown,n/a,unknown,n/a
0040X0,0040X0,SOL 팔란티어미국채커버드콜혼합,partial,76,A,11,11,unknown,n/a,unknown,n/a,unknown,n/a
0040Y0,0040Y0,SOL 팔란티어커버드콜OTM채권혼합,partial,76,A,11,11,unknown,n/a,unknown,n/a,unknown,n/a
0041D0,0041D0,KODEX 미국AI소프트웨어TOP10,partial,25,D,6,6,unknown,n/a,unknown,n/a,unknown,n/a
0041E0,0041E0,KODEX 미국S&P500액티브,partial,25,D,6,6,unknown,n/a,unknown,n/a,unknown,n/a
0043B0,0043B0,TIGER 머니마켓액티브,partial,68,B,11,11,unknown,n/a,unknown,n/a,unknown,n/a
0043Y0,0043Y0,TIME 차이나AI테크액티브,partial,25,D,6,6,unknown,n/a,unknown,n/a,unknown,n/a
0046A0,0046A0,TIGER 미국초단기(3개월이하)국채,partial,68,B,11,11,unknown,n/a,unknown,n/a,unknown,n/a
0046Y0,0046Y0,ACE 미국배당퀄리티,partial,25,D,6,6,unknown,n/a,unknown,n/a,unknown,n/a
0047A0,0047A0,TIGER 차이나테크TOP10,partial,68,B,11,11,unknown,n/a,unknown,n/a,unknown,n/a
0047N0,0047N0,PLUS 차이나AI테크TOP10,partial,61,B,10,10,unknown,n/a,unknown,n/a,unknown,n/a
0047P0,0047P0,RISE 테슬라고정테크100,partial,61,B,10,10,unknown,n/a,unknown,n/a,unknown,n/a
0047R0,0047R0,RISE 팔란티어고정테크100,partial,61,B,10,10,unknown,n/a,unknown,n/a,unknown,n/a
0048J0,0048J0,KODEX 미국머니마켓액티브,partial,25,D,6,6,unknown,n/a,unknown,n/a,unknown,n/a
0048K0,0048K0,KODEX 차이나휴머노이드로봇,partial,25,D,6,6,unknown,n/a,unknown,n/a,unknown,n/a
0049K0,0049K0,ACE 미국배당퀄리티채권혼합50,partial,33,C,8,8,unknown,n/a,unknown,n/a,eligible,insufficient
0049M0,0049M0,ACE 미국배당퀄리티+커버드콜액티브,partial,25,D,6,6,unknown,n/a,unknown,n/a,unknown,n/a
0050E0,0050E0,PLUS 미국AI에이전트,partial,61,B,10,10,unknown,n/a,unknown,n/a,unknown,n/a
0051A0,0051A0,KoAct 브로드컴밸류체인액티브,partial,53,C,10,10,unknown,n/a,unknown,n/a,unknown,n/a
0051G0,0051G0,SOL 미국원자력SMR,partial,76,A,11,11,unknown,n/a,unknown,n/a,unknown,n/a
0052D0,0052D0,TIGER 코리아배당다우존스,partial,68,B,11,11,unknown,n/a,unknown,n/a,unknown,n/a
0052S0,0052S0,1Q 미국S&P500미국채혼합50액티브,partial,53,C,10,10,unknown,n/a,unknown,n/a,unknown,n/a
0052T0,0052T0,1Q 중단기회사채(A-이상)액티브,partial,53,C,10,10,unknown,n/a,unknown,n/a,unknown,n/a
0053L0,0053L0,TIGER 차이나휴머노이드로봇,partial,68,B,11,11,unknown,n/a,unknown,n/a,unknown,n/a
0053M0,0053M0,더제이 중소형포커스액티브,partial,68,B,12,12,unknown,n/a,unknown,n/a,unknown,n/a
0057H0,0057H0,PLUS 미국S&P500미국채혼합50액티브,partial,61,B,9,9,unknown,n/a,unknown,n/a,unknown,n/a
0060H0,0060H0,TIGER 토탈월드스탁액티브,partial,68,B,11,11,unknown,n/a,unknown,n/a,unknown,n/a
0061Z0,0061Z0,RISE 단기특수은행채액티브,partial,61,B,10,10,unknown,n/a,unknown,n/a,unknown,n/a
0064K0,0064K0,KODEX 금액티브,partial,25,D,6,6,unknown,n/a,unknown,n/a,unknown,n/a
0065G0,0065G0,KODEX 차이나테크TOP10,partial,25,D,6,6,unknown,n/a,unknown,n/a,unknown,n/a
0066W0,0066W0,SOL 국제금,partial,76,A,11,11,unknown,n/a,unknown,n/a,unknown,n/a
0067V0,0067V0,TIGER 차이나글로벌리더스TOP3+,partial,68,B,11,11,unknown,n/a,unknown,n/a,unknown,n/a
0067Y0,0067Y0,TIGER 차이나AI소프트웨어,partial,68,B,10,10,unknown,n/a,unknown,n/a,unknown,n/a
0068M0,0068M0,KODEX 미국S&P500버퍼6월액티브,partial,25,D,6,6,unknown,n/a,unknown,n/a,unknown,n/a
0069M0,0069M0,1Q 미국나스닥100,partial,53,C,10,10,unknown,n/a,unknown,n/a,unknown,n/a
0072R0,0072R0,TIGER KRX금현물,partial,68,B,11,11,unknown,n/a,unknown,n/a,unknown,n/a
0073X0,0073X0,FOCUS 알리바바미국채커버드콜혼합,partial,25,D,6,6,unknown,n/a,unknown,n/a,unknown,n/a
0074K0,0074K0,KoAct K수출핵심기업TOP30액티브,partial,68,B,12,12,unknown,n/a,unknown,n/a,unknown,n/a
0078V0,0078V0,PLUS 미국로보택시,partial,61,B,10,10,unknown,n/a,unknown,n/a,unknown,n/a
0079X0,0079X0,ACE BYD밸류체인액티브,partial,25,D,6,6,unknown,n/a,unknown,n/a,unknown,n/a
0080G0,0080G0,KODEX 방산TOP10,partial,48,C,9,9,unknown,n/a,unknown,n/a,eligible,insufficient
0080X0,0080X0,SOL 미국S&P500미국채혼합50,partial,76,A,11,11,unknown,n/a,unknown,n/a,unknown,n/a
0080Y0,0080Y0,SOL 조선TOP3플러스레버리지,partial,76,A,12,12,unknown,n/a,unknown,n/a,eligible,ready
0082F0,0082F0,HANARO 유럽방산,partial,25,D,6,6,unknown,n/a,unknown,n/a,unknown,n/a
0082V0,0082V0,KODEX TDF2060액티브 적격,partial,25,D,6,6,unknown,n/a,unknown,n/a,unknown,n/a
0083S0,0083S0,1Q 미국메디컬AI,partial,53,C,10,10,unknown,n/a,unknown,n/a,unknown,n/a
0084D0,0084D0,KIWOOM 미국테크100월간목표헤지액티브,partial,25,D,6,6,unknown,n/a,unknown,n/a,unknown,n/a
0084E0,0084E0,KIWOOM 미국대형주500월간목표헤지액티브,partial,25,D,6,6,unknown,n/a,unknown,n/a,unknown,n/a
