shortCode,name,productId,status,benchmarkName,distributionPolicy,rawHash
"0000J0","PLUS 한화그룹주","006380","ok","FnGuide 한화그룹주 지수","1,4,7,10월 마지막 영업일 및 회계기간 종료일","8ed0dbdda55329f39980ac2672890ada5f0732d51ba202e715cfaac87a2f86a6"
"0007G0","PLUS 글로벌원자력밸류체인","006379","ok","Solactive Global Nuclear Energy Value Chain Index (원화환산)","매 1,4,7,10월 마지막 영업일 및 투자신탁회계기간 종료일","b8d38cc3cf233481c1bfe0681820be0493eb22ae2b8dd75ae31c22b35916ab33"
"0018C0","PLUS 고배당주위클리고정커버드콜","006382","ok","코스피 고배당 위클리 고정 커버드콜 지수","매월 15일(다만, 영업일이 아닌 경우 그 직전 영업일)","5826963a32db1864e92d9cca2aa47edd1fecbee28fc730a39c05ed0290fb63a4"
"0023B0","PLUS 미국양자컴퓨팅TOP10","006383","ok","iSelect 미국양자컴퓨팅 TOP10 지수(원화환산)","매 1, 4, 7, 10월 마지막 영업일 및 투자신탁회계기간 종료일","abd14b4fe3af334b967f1ae082f607af1833e35bdc893db19537956953c3a330"
"0035T0","PLUS 글로벌휴머노이드로봇액티브","006384","ok","iSelect 글로벌휴머노이드로봇 지수(원화환산)","매 1월, 4월, 7월, 10월 마지막 영업일 및 투자신탁회계기간 종료일","96f5fbf01d303dec2abbac6059926f8e3b96d26a1db388bd619e1bcb2194bbe8"
"0047N0","PLUS 차이나AI테크TOP10","006386","ok","Solactive China AI Tech Top 10 Index(원화환산)","매 1월, 4월, 7월, 10월 마지막 영업일 및 투자신탁회계기간 종료일","279aa3b2224a36d3d872e271ed0ac0e941d06d433492549fa56f3ecb6c6aa1ff"
"0050E0","PLUS 미국AI에이전트","006385","ok","Solactive US AI Agents Index(원화환산)","매 1월, 4월, 7월, 10월 마지막 영업일 및 투자신탁회계기간 종료일","e3ba1e2a1931863fa22d1a851d8fdd77566ddcd592cdac19a2f82fce822fd023"
"0057H0","PLUS 미국S&P500미국채혼합50액티브","006387","partial","S&P 500 and U.S. Treasury Bill 0-3 Month 50/50 Blend Index(원화환산)","매월 마지막 영업일 및 회계기간 종료일 (단, 회계기간 종료일이 영업일이 아닌 경우 그 직전 영업일)","c724a47f1b4c77d6d10cb9a888159316a52adab0bc93d6861088a5d4e11bffb4"
"0078V0","PLUS 미국로보택시","006388","ok","KEDI U.S. Robotaxi Index(원화환산)","매 1, 4, 7, 10월 마지막 영업일 및 투자신탁회계기간 종료일","a2e425f2580705e44581028338b51c54377df78a1143577a1969903ecbc5d1d9"
"0089B0","PLUS 미국나스닥100미국채혼합50","006389","ok","Nasdaq -100 US T-Bills 1-3 Month 50/50 Index(원화환산)","매월 마지막 영업일 및 회계기간 종료일 (단, 회계기간 종료일이 영업일이 아닌 경우 그 직전 영업일)","12fd45337047449c6b9cc6e5724ea6a600155d4cc0dbd6098cb591920e1c4a3e"
"0090B0","PLUS K방산소부장","006390","ok","Akros K방산소부장 지수","매 1월, 4월, 7월, 10월 마지막 영업일 및 투자신탁회계기간 종료일","7cc63664de6bf61155488c1eadfbe8680f7c7c7b8e85f05fd59a68b0cb9f7c4c"
"0098N0","PLUS 자사주매입고배당주","006392","ok","FnGuide 고배당주 플러스 자사주 지수","매월 15일(다만, 영업일이 아닌 경우 그 직전 영업일)","4e888bf1f42d074b036fad7ae64635fa1f53eb8d8c36924b998046327c1d12bb"
"0104G0","PLUS K방산레버리지","006393","ok","FnGuide K-방위산업 지수","매 1월, 4월, 7월, 10월 마지막 영업일 및 투자신탁회계기간 종료일","5f54b53beaa017045c94de749002ef166e546d5f6c1d779cd87ab47d7a67fea0"
"0128D0","PLUS 차이나항셍테크위클리타겟커버드콜","006394","partial","HSTECH 15% Target Premium Weekly Covered Call Index(원화환산)","매월 마지막 영업일 및 회계기간 종료일","9f234fcebd0c8fc7f9432f6ad9ecde32672af4944d5e43bd1d34cc74ce679401"
"0132K0","PLUS 테슬라위클리커버드콜채권혼합","006395","partial","Akros 테슬라 위클리 커버드콜 채권혼합 지수","매월 15일","d2192bb3d8d6e6a77733f57a790e4b730bbf4516389f4545b1e886a5c215201e"
"0138Y0","PLUS 금채권혼합","006396","partial","Akros 미국 금현물 ETF 채권혼합 지수","매 1월, 4월, 7월, 10월 마지막 영업일 및 투자신탁회계기간 종료일","2ccd51e7740fc619fa67f0b12b7cbb9a542a1f3f3dadaa8fdf9c6c50b0908d14"
"0153X0","PLUS 미국고배당주액티브","006397","partial","Akros 미국 고배당주 20 지수(원화환산)","매월 마지막 영업일 및 투자신탁회계기간 종료일.","a380932965352e146efd9f73865105c65a899a2ca114dff7b0df05f049784c73"
"0166N0","PLUS 코스닥150액티브","006399","partial","코스닥 150 지수","매 1월, 4월, 7월, 10월 마지막 영업일 및 투자신탁회계기간 종료일","c3e34efa3bb369d15666186a580924de78b7561224c2df2e1b0bbf62d6abcc89"
"0166S0","PLUS K제조업핵심기업액티브","006400","partial","Akros K제조업 50 지수","매 1월, 4월, 7월, 10월 마지막 영업일 및 투자신탁회계기간 종료일","a476d47ab0f60f7ae474421d5a3ab9487cdf14ddbb9c93298038252fc277c2b2"
"0166T0","PLUS 글로벌저작권핵심기업액티브","006398","partial","iSelect 미국AI지적재산 지수(PR)(원화환산)","매 1월, 4월, 7월, 10월 마지막 영업일 및 투자신탁회계기간 종료일","d5a66ef1e6b531035f4558c451be15592a67d62d3f5ca901b9dbeb9365a30ca8"
"0184L0","PLUS 중기종합채권(A-이상)액티브","006402","partial","KIS 중기종합채권(A-이상) 지수(총수익)","매년 12월 15일 및 투자신탁 회계기간 종료일","6f38e208d3e3c61215192816cf89d9d2f05bd7695f3273a1e9777405cf5df479"
"0184N0","PLUS 은채권혼합","006403","partial","Akros 은 채권혼합 지수(원화환산)","매 1월, 4월, 7월, 10월 마지막 영업일 및 투자신탁회계기간 종료일","88d7319140b00be4c285b8b5d101bbb98443af131f06b55a98610f697557aaab"
"0193K0","PLUS 삼성전자단일종목레버리지","006405","partial","KRX 삼성전자 지수","투자신탁회계기간 종료일. 다만, 투자신탁회계기간 종료일이 영업일이 아닌 경우 그 직전 영업일","55965d1693ea6a21cf19409156cce5366de08ba1ea640fbfa3557980ad3a29cd"
"0193L0","PLUS 삼성전자선물단일종목인버스2X","006406","partial","KRX 삼성전자 지수","투자신탁회계기간 종료일. 다만, 투자신탁회계기간 종료일이 영업일이 아닌 경우 그 직전 영업일","17c80e22ce998dd2657e52c07dc0e9148592c6480763326e90f1e1c1949aca08"
"0203D0","PLUS 200위클리커버드콜채권혼합","006404","partial","코스피 200 KTB 혼합 위클리 고정 10% 커버드콜 지수","매월 마지막 영업일 및 회계기간 종료일","7c3603e48215d90cd5632d72b53a6e5223443d3610dd5b96ff8148b949ef205b"
"0210E0","PLUS 200커버드콜액티브","006407","partial","코스피 200 위클리 고정 30% 커버드콜 지수","매월 마지막 영업일 및 회계기간 종료일","381d9d2650bf1b1ea1da5b94941cf61b9838c944103ce5653a0303ed1f82b25b"
"122090","PLUS 코스피50","006181","ok","KOSPI 50","1,4,7,10월 마지막 영업일 및 회계기간 종료일(회계기간 종료일이 영업일이 아닌 경우 그 직전 영업일)","7eaf43d1486cdec2c72d9835618e8e86323012e7da57661b7558d20e70c4431f"
"152100","PLUS 200","006184","ok","KOSPI 200","배당금 발생시 1,4,7,10월, 마지막 영업일 및 회계기간 종료일 기준 지급(회계기간 종료일이 영업일이 아닌 경우 그 직전 영업일)","a74fb3005b01927ffc7f35061ba5e187ea0d059dba64200fe6be846c90ec8c88"
"161510","PLUS 고배당주","006273","ok","FnGuide 고배당주지수","매월 마지막 영업일 및 투자신탁회계기간 종료일. 다만, 회계기간 종료일이 영업일이 아닌 경우 그 직전 영업일","c6580fc2afda3aecaf993816326a7d4580da82c4ccc3485eb9563b4b2053867a"
"189400","PLUS 글로벌MSCI(합성 H)","006281","ok","MSCI ACWI","투자신탁 회계기간 종료일.(회계기간 종료일이 영업일이 아닌 경우 그 직전 영업일)","98f7da49b53c1edcb659f2830bae6a03b1b8e9cf83b288267c03668048a68022"
"195970","PLUS 선진국MSCI(합성 H)","006284","ok","MSCI EAFE index","분배금 지급 사유 발생시 1, 4, 7, 10월 마지막 영업일 및 회계기간 종료일에 분배금 지급 가능 (배당금 발생시 재투자하며, 파생상품에 투자하는 상품으로 분배금 지급이 거의 발생하지 않음)","901e2322d0d4f68e8664dabe79d879d4a9221fb38cce90c78998ddf59cbfa653"
"195980","PLUS 신흥국MSCI(합성 H)","006285","ok","MSCI Emerging Markets index","분배금 지급 사유 발생시 1, 4, 7, 10월 마지막 영업일 및 회계기간 종료일에 분배금 지급 가능 (배당금 발생시 재투자하며, 파생상품에 투자하는 상품으로 분배금 지급이 거의 발생하지 않음)","e4fe88c754f15bdc36d73b684c5c956a0e3d007891767d416c8f6611824ce6cb"
"213630","PLUS 미국다우존스고배당주(합성 H)","006287","ok","Dow Jones US Select Dividend Index (PR)","분배금 지급 사유 발생시 1, 4, 7, 10월 마지막 영업일 및 회계기간 종료일에 분배금 지급 가능 (배당금 발생시 재투자하며, 파생상품에 투자하는 상품으로 분배금 지급이 거의 발생하지 않음)","4dbdf8843dd8c047d3f6014b00657c0f1139c38633161dbf9e95d74f54c0be15"
