shortCode,name,productId,status,benchmarkName,distributionPolicy,rawHash
"0005D0","SOL 전고체배터리&실리콘음극재","211079","ok","FnGuide 전고체배터리&실리콘음극재 지수(PR)","연 1회 지급; - 지급 기준일 : 4월 마지막 영업일 - 단, 운용사 정책에 따라 유보 및 지급률 변동 가능","394c9ee231782c8d6d546dac3b6684d4074445565d0bd1b371b2062501e2cc3c"
"220130","SOL 차이나강소기업CSI500(합성 H)","210367","ok","CSI500 Index","연 1회 지급; - 회계기간 종료일 (다만, 회계기간 종료일이 영업일이 아닌 경우 그 직전 영업일) - 단, 운용사 정책에 따라 유보 및 지급률 변동 가능","37b29281327799ff5845af43cebdaca3d82870e1590dfeb8623cae745020253d"
"292500","SOL KRX300","210728","ok","KRX300","연 4회 지급; - 지급 기준일 : 1,4,7,10월의 마지막 영업일 - 단, 운용사 정책에 따라 유보 및 지급률 변동 가능","a28fbee7e32102e17827a1b35dbc88d6c4057da9001410835ffd4bf911fd6ac2"
"433330","SOL 미국S&P500","210930","ok","S&P500 (PR) Index","월 1회 지급; - 지급 기준일 : 매월 마지막 영업일 - 단, 운용사 정책에 따라 유보 및 지급률 변동 가능","a711ea6bb1f953749ee3345a16c4a6f34e4fbf143e6664a391bc12b56b2d6ccc"
"0008T0","SOL 화장품TOP3플러스","211080","ok","FnGuide 화장품TOP3플러스지수(PR)","연 1회 지급; - 지급 기준일 : 4월 마지막 영업일 - 단, 운용사 정책에 따라 유보 및 지급률 변동 가능","7c113be35dd7ce5336c5e0ee9f15b3bd0139a0f2154034fe0ca8e97815fc7063"
"0016X0","SOL 중단기회사채(A-이상)액티브","211082","partial","","연 1회 지급; - 매년 12월 15일 및 회계기간 종료일 (다만, 회계기간 종료일이 영업일이 아닌 경우 그 직전 영업일) - 단, 운용사 정책에 따라 유보 및 지급률 변동 가능","63f874d738fe64d43ac4afaa243d6115d687b3043c0407ceb53833e81ff8ecc8"
"0022T0","SOL 국제금커버드콜액티브","211077","partial","","월 1회 지급; - 지급 기준일 : 매월 마지막 영업일 - 단, 운용사 정책에 따라 유보 및 지급률 변동 가능","259dfb373ef9d4d618d5eab3c4d98647c12301b464e1a0e93a926cc1f067c6ce"
"0023A0","SOL 미국양자컴퓨팅TOP10","211084","ok","KEDI 미국양자컴퓨팅TOP10지수(PR)(원화환산)","연 1회 지급; - 지급 기준일 : 4월 마지막 영업일 - 단, 운용사 정책에 따라 유보 및 지급률 변동 가능","04d976decd6c1129776398b145b342972fc2fd3a2a15b46ea6c10896afdaba43"
"0040X0","SOL 팔란티어미국채커버드콜혼합","211089","ok","KEDI 팔란티어미국채커버드콜혼합지수(NTR)","월 1회 지급; - 매월 마지막 영업일 - 단, 운용사 정책에 따라 유보 및 지급률 변동 가능","29137b793644ec030527f39a9cbabd0b853c6d64dacdd0008935b42bdedba54d"
"0040Y0","SOL 팔란티어커버드콜OTM채권혼합","211088","ok","KEDI 팔란티어커버드콜OTM채권혼합지수 (NTR)","월 1회 지급; - 매월 마지막 영업일 - 단, 운용사 정책에 따라 유보 및 지급률 변동 가능","c9b316798e063538e0444ba2c71defca8b40dc465b0db8b20189731afeda0860"
