화면,위치,항목,상태,현재_더미값,실데이터_소스_후보,비고
상세,요약-기본정보,총 보수,부분샘플,"0.39% (큐레이션 24종만 실값)",운용사 공시/KRX,thin ETF는 더미값
상세,요약-기본정보,상장일,샘플,2023.05.17 (고정),공공데이터/운용사,전 종목 더미
상세,요약-기본정보,운용사,파생-추정,이름 접두사 매핑(KODEX→삼성 등),운용사 마스터,데이터 소스 아님(이름 기반 추정)
상세,요약-주요지표,PER,샘플,24.8,지수사업자/운용사,전 종목 더미
상세,요약-주요지표,PBR,샘플,4.32,지수사업자/운용사,전 종목 더미
상세,요약-주요지표,배당수익률,샘플,0.48%,배당 데이터,전 종목 더미
상세,배당,배당요약(지급주기·주당배당금·연수익률),샘플,4번/분기 · 320원 · 2.60%,배당 데이터 소스,전 종목 더미
상세,배당,배당 지급 내역 차트,샘플,고정 막대(52~86px),배당 데이터 소스,전 종목 더미
상세,배당,배당 지급 내역 리스트,샘플,12월12일 96원 등 4건,배당 데이터 소스,전 종목 더미
상세,수익률,장기(5년) 프레이밍,부분샘플,실 캔들(~200일)+"5년" 라벨,장기 캔들/지수,차트 값은 실데이터, 기간 라벨만 샘플
홈,리스트,1M 수익률,부분샘플,Toss 미커버 시 '—',Toss 캔들,대부분 실데이터(Toss 미커버 종목만 미표기)
홈,리스트,스파크라인,부분샘플,Toss 미커버 시 장식용 곡선,Toss 캔들,대부분 실데이터(Toss 미커버 종목만 장식용)
