etfCode,name,codeType,issuer,benchmarkName,detailScope,readinessScore,grade,assetClassEvidence,regionEvidence,sectorEvidence,strategyEvidence,dividendEvidence,holdingsCount,tagCount,hasLlmContribution,missingFields
0000D0,TIGER 엔비디아미국채커버드콜밸런스(합성),naver_internal_unresolved,미래에셋자산운용,KEDI 엔비디아미국채30년타겟커버드콜혼합지수(TR),enriched,68,B,medium,low,medium,medium,low,9,6,true,표준 KRX 코드|산업·국가 비중|실제 분배금 이력
0000H0,KODEX 인도Nifty미드캡100,naver_internal_unresolved,삼성자산운용,Nifty Midcap 100 Index(PR),thin,25,D,low,low,low,low,none,0,3,false,표준 KRX 코드|상품 설명·투자 목적|구성종목|산업·국가 비중|분배 일정|실제 분배금 이력
0000J0,PLUS 한화그룹주,naver_internal_unresolved,한화자산운용,FnGuide 한화그룹주 지수,enriched,76,A,medium,low,medium,medium,high,10,4,true,표준 KRX 코드|산업·국가 비중
0000Y0,HK 26-12 회사채(AA-이상)액티브,naver_internal_unresolved,흥국자산운용,KAP 26-12 크레딧 채권 총수익지수(AA-이상),enriched,43,C,medium,low,low,medium,low,0,5,true,표준 KRX 코드|구성종목|산업·국가 비중|실제 분배금 이력
0000Z0,RISE 바이오TOP10액티브,naver_internal_unresolved,KB자산운용,KRX 바이오 TOP 10 지수,enriched,76,A,medium,low,medium,medium,high,10,4,true,표준 KRX 코드|산업·국가 비중
0001P0,마이티 바이오시밀러&CDMO액티브,naver_internal_unresolved,DB자산운용,FnGuide 바이오시밀러&CDMO 지수,enriched,40,C,low,low,medium,low,none,10,4,true,표준 KRX 코드|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력
0002C0,에셋플러스 인도일등기업포커스20액티브,naver_internal_unresolved,에셋플러스자산운용,MSCI India IMI Index(PR),thin,25,D,low,low,low,low,none,0,3,false,표준 KRX 코드|상품 설명·투자 목적|구성종목|산업·국가 비중|분배 일정|실제 분배금 이력
0004G0,1Q 미국배당TOP30,naver_internal_unresolved,하나자산운용,Solactive U.S. Dividend TOP 30 Index PR,enriched,53,C,medium,low,low,medium,low,0,3,false,표준 KRX 코드|구성종목|산업·국가 비중|실제 분배금 이력
0005A0,KODEX 미국S&P500데일리커버드콜OTM,naver_internal_unresolved,삼성자산운용,S&P 500 Covered Call 1% OTM Daily Index(TR),enriched,29,D,low,low,low,low,low,0,5,false,표준 KRX 코드|상품 설명·투자 목적|구성종목|산업·국가 비중|실제 분배금 이력
0005C0,RISE 미국S&P500엔화노출(합성 H),naver_internal_unresolved,KB자산운용,S&P500 Yen Hedged Index(PR),enriched,61,B,medium,low,low,medium,high,0,4,false,표준 KRX 코드|구성종목|산업·국가 비중
