etfCode,name,codeType,issuer,benchmarkName,detailScope,readinessScore,grade,assetClassEvidence,regionEvidence,sectorEvidence,strategyEvidence,dividendEvidence,holdingsCount,tagCount,hasLlmContribution,missingFields
0000D0,TIGER 엔비디아미국채커버드콜밸런스(합성),naver_internal_unresolved,미래에셋자산운용(주),KEDI 엔비디아미국채30년타겟커버드콜혼합지수(TR),enriched,50,C,medium,low,low,medium,low,0,6,true,표준 KRX 코드|상품 설명·투자 목적|구성종목|산업·국가 비중|실제 분배금 이력
0000H0,KODEX 인도Nifty미드캡100,naver_internal_unresolved,,Nifty Midcap 100 Index(PR),thin,18,D,low,low,low,low,none,0,3,false,표준 KRX 코드|상세 메타데이터|운용사|상품 설명·투자 목적|구성종목|산업·국가 비중|분배 일정|실제 분배금 이력|필드별 출처
0000J0,PLUS 한화그룹주,naver_internal_unresolved,,FnGuide 한화그룹주 지수,enriched,48,C,low,low,medium,low,none,10,4,true,표준 KRX 코드|운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력
0000Y0,HK 26-12 회사채(AA-이상)액티브,naver_internal_unresolved,흥국자산운용(주),KAP 26-12 크레딧 채권 총수익지수(AA-이상),enriched,50,C,medium,low,low,medium,low,0,5,true,표준 KRX 코드|상품 설명·투자 목적|구성종목|산업·국가 비중|실제 분배금 이력
0000Z0,RISE 바이오TOP10액티브,naver_internal_unresolved,,KRX 바이오 TOP 10 지수,enriched,52,C,low,low,medium,medium,none,10,4,true,표준 KRX 코드|운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력
0001P0,마이티 바이오시밀러&CDMO액티브,naver_internal_unresolved,,FnGuide 바이오시밀러&CDMO 지수,enriched,52,C,low,low,medium,medium,none,10,4,true,표준 KRX 코드|운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력
0002C0,에셋플러스 인도일등기업포커스20액티브,naver_internal_unresolved,,MSCI India IMI Index(PR),thin,18,D,low,low,low,low,none,0,3,false,표준 KRX 코드|상세 메타데이터|운용사|상품 설명·투자 목적|구성종목|산업·국가 비중|분배 일정|실제 분배금 이력|필드별 출처
0004G0,1Q 미국배당TOP30,naver_internal_unresolved,,Solactive U.S. Dividend TOP 30 Index PR,thin,18,D,low,low,low,low,none,0,3,false,표준 KRX 코드|상세 메타데이터|운용사|상품 설명·투자 목적|구성종목|산업·국가 비중|분배 일정|실제 분배금 이력|필드별 출처
0005A0,KODEX 미국S&P500데일리커버드콜OTM,naver_internal_unresolved,,S&P 500 Covered Call 1% OTM Daily Index(TR),thin,18,D,low,low,low,low,none,0,5,false,표준 KRX 코드|상세 메타데이터|운용사|상품 설명·투자 목적|구성종목|산업·국가 비중|분배 일정|실제 분배금 이력|필드별 출처
0005C0,RISE 미국S&P500엔화노출(합성 H),naver_internal_unresolved,,S&P500 Yen Hedged Index(PR),thin,18,D,low,low,low,low,none,0,4,false,표준 KRX 코드|상세 메타데이터|운용사|상품 설명·투자 목적|구성종목|산업·국가 비중|분배 일정|실제 분배금 이력|필드별 출처
