sampleNumber,etfCode,name,grade,readinessScore,selectionPhase,selectionReasons,issuer,benchmarkName,rawTypeText,topHoldings,currentTagIds,currentTagLabels,lowConfidenceTagIds,missingFields,decision,correctedTagIds,reviewNote,reviewer,reviewedAt
1,0005G0,IBK K-AI반도체코어테크,B,66,ready_core,준비도 B등급(66점),아이비케이자산운용 주식회사,FnGuide K-AI반도체 코어테크 지수,"국내주식형, 섹터",SK하이닉스 22.1%|삼성전자 21.45%|삼성전기 18.02%|한미반도체 12.07%|이수페타시스 7.58%|리노공업 5.02%|심텍 3.69%|ISC 2.19%|한화비전 2.03%|피에스케이홀딩스 1.4%,sector.semiconductor|asset.equity|region.domestic_kr|strategy.passive_index,반도체|주식|국내|지수추종(패시브),,표준 KRX 코드|상품 설명·투자 목적|산업·국가 비중|실제 분배금 이력,,,,,
2,0080G0,KODEX 방산TOP10,B,66,ready_core,준비도 B등급(66점),삼성자산운용(주),iSelect 방산 TOP10 지수(Price Return),"국내주식형, 섹터",한국항공우주 22.18%|한화에어로스페이스 20.27%|현대로템 19.78%|LIG디펜스앤에어로스페이스 19.56%|한화시스템 11.32%|풍산 4.09%|인텔리안테크 0.96%|아이쓰리시스템 0.83%|엠앤씨솔루션 0.68%|스피어 0.24%,sector.aerospace_defense|asset.equity|region.domestic_kr|strategy.passive_index,우주항공/방산|주식|국내|지수추종(패시브),,표준 KRX 코드|상품 설명·투자 목적|산업·국가 비중|실제 분배금 이력,,,,,
3,0080Y0,SOL 조선TOP3플러스레버리지,B,70,ready_core,준비도 B등급(70점),신한자산운용 주식회사,FnGuide 조선 TOP3 플러스레버리지(2x) 지수,"국내주식형, 섹터",삼성중공업 26.52%|HD현대중공업 24.81%|한화오션 24.23%|HD한국조선해양 16.56%|HD현대마린솔루션 3.06%|한화엔진 2.72%|HD현대마린엔진 1.41%|한국카본 0.83%|대한조선 0.51%|성광벤드 0.48%,strategy.leverage|asset.equity|region.domestic_kr|strategy.passive_index|sector.shipbuilding,레버리지|주식|국내|지수추종(패시브)|조선/조선기자재,,표준 KRX 코드|상품 설명·투자 목적|산업·국가 비중|실제 분배금 이력,,,,,
4,0193L0,PLUS 삼성전자선물단일종목인버스2X,A,75,ready_core,준비도 A등급(75점),한화자산운용,KRX 삼성전자 선물 인버스 -2X 지수,"국내주식형, 전략지수",설정현금액 100%|원화현금 100%,strategy.leverage|strategy.inverse|asset.equity|region.domestic_kr|strategy.passive_index,레버리지|인버스|주식|국내|지수추종(패시브),,표준 KRX 코드|상품 설명·투자 목적|산업·국가 비중|실제 분배금 이력,,,,,
5,069500,KODEX 200,B,71,ready_core,준비도 B등급(71점),삼성자산운용(주),코스피 200,"국내주식형, 대표지수",삼성전자 32.71%|SK하이닉스 28.17%|SK스퀘어 2.95%|삼성전기 1.99%|현대차 1.68%|KB금융 1.56%|신한지주 1.23%|기아 0.97%|삼성물산 0.96%|하나금융지주 0.91%,strategy.benchmark.kospi200|region.domestic_kr|asset.equity|strategy.passive_index,코스피200|국내|주식|지수추종(패시브),,상품 설명·투자 목적|산업·국가 비중|실제 분배금 이력,,,,,
6,091160,KODEX 반도체,B,71,ready_core,준비도 B등급(71점),삼성자산운용(주),KRX 반도체,"국내주식형, 섹터",SK하이닉스 38.67%|삼성전자 21.84%|한미반도체 5.5%|주성엔지니어링 3.63%|원익IPS 2.62%|피에스케이 2.32%|리노공업 2.29%|DB하이텍 2.15%|이오테크닉스 1.92%|HPSP 1.74%,sector.semiconductor|asset.equity|region.domestic_kr|strategy.passive_index,반도체|주식|국내|지수추종(패시브),,상품 설명·투자 목적|산업·국가 비중|실제 분배금 이력,,,,,
7,102110,TIGER 200,B,71,ready_core,준비도 B등급(71점),미래에셋자산운용(주),코스피 200,"국내주식형, 대표지수",삼성전자 32.72%|SK하이닉스 28.19%|SK스퀘어 2.95%|삼성전기 1.99%|현대차 1.67%|KB금융 1.56%|신한지주 1.23%|기아 0.97%|삼성물산 0.96%|하나금융지주 0.91%,strategy.benchmark.kospi200|region.domestic_kr|asset.equity|strategy.passive_index,코스피200|국내|주식|지수추종(패시브),,상품 설명·투자 목적|산업·국가 비중|실제 분배금 이력,,,,,
8,114800,KODEX 인버스,A,80,ready_core,준비도 A등급(80점),삼성자산운용(주),코스피 200 선물인버스 지수,"국내파생, 인버스",설정현금액 100%|원화현금 100%,strategy.inverse|strategy.benchmark.kospi200|region.domestic_kr|asset.equity|strategy.passive_index,인버스|코스피200|국내|주식|지수추종(패시브),,상품 설명·투자 목적|산업·국가 비중|실제 분배금 이력,,,,,
9,122630,KODEX 레버리지,A,75,ready_core,준비도 A등급(75점),삼성자산운용(주),코스피 200 레버리지지수,"국내파생, 레버리지",KODEX 200 23.58%|삼성전자 19.2%|SK하이닉스 16.53%|KODEX 200TR 9.01%|SK스퀘어 1.73%|PLUS 200 1.69%|삼성전기 1.18%|현대차 0.99%|KB금융 0.92%|신한지주 0.72%,strategy.leverage|strategy.benchmark.kospi200|region.domestic_kr|asset.equity|strategy.passive_index,레버리지|코스피200|국내|주식|지수추종(패시브),,상품 설명·투자 목적|산업·국가 비중|실제 분배금 이력,,,,,
10,123320,TIGER 레버리지,B,57,ready_core,준비도 B등급(57점),,코스피 200,,삼성전자 21.92%|SK하이닉스 18.88%|TIGER 200 14.98%|SK스퀘어 1.98%|삼성전기 1.34%|현대차 1.12%|KB금융 1.05%|신한지주 0.83%|기아 0.65%|삼성물산 0.65%,strategy.leverage|asset.equity|region.domestic_kr|strategy.passive_index,레버리지|주식|국내|지수추종(패시브),,운용사|상품 설명·투자 목적|산업·국가 비중|분배 일정|실제 분배금 이력,,,,,
