etfCode,etfName,rank,holdingCode,holdingName,quantity,weightPct,status
069500,KODEX 200,1,005930,삼성전자,"6,978",32.71,OK
069500,KODEX 200,2,000660,SK하이닉스,829,28.17,OK
069500,KODEX 200,3,402340,SK스퀘어,138,2.95,OK
069500,KODEX 200,4,009150,삼성전기,84,1.99,OK
069500,KODEX 200,5,005380,현대차,205,1.68,OK
069500,KODEX 200,6,105560,KB금융,455,1.56,OK
069500,KODEX 200,7,055550,신한지주,617,1.23,OK
069500,KODEX 200,8,000270,기아,366,0.97,OK
069500,KODEX 200,9,028260,삼성물산,145,0.96,OK
069500,KODEX 200,10,086790,하나금융지주,373,0.91,OK
360750,TIGER 미국S&P500,,,,,,EMPTY_NO_TABLE
133690,TIGER 미국나스닥100,,,,,,EMPTY_NO_TABLE
379800,KODEX 미국S&P500,,,,,,EMPTY_NO_TABLE
102110,TIGER 200,1,005930,삼성전자,"6,984",32.72,OK
102110,TIGER 200,2,000660,SK하이닉스,830,28.19,OK
102110,TIGER 200,3,402340,SK스퀘어,138,2.95,OK
102110,TIGER 200,4,009150,삼성전기,84,1.99,OK
102110,TIGER 200,5,005380,현대차,204,1.67,OK
102110,TIGER 200,6,105560,KB금융,456,1.56,OK
102110,TIGER 200,7,055550,신한지주,617,1.23,OK
102110,TIGER 200,8,000270,기아,366,0.97,OK
102110,TIGER 200,9,028260,삼성물산,145,0.96,OK
102110,TIGER 200,10,086790,하나금융지주,373,0.91,OK
396500,TIGER 반도체TOP10,1,005930,삼성전자,"2,042",28.38,OK
396500,TIGER 반도체TOP10,2,000660,SK하이닉스,265,26.70,OK
396500,TIGER 반도체TOP10,3,402340,SK스퀘어,338,21.43,OK
396500,TIGER 반도체TOP10,4,036930,주성엔지니어링,469,4.67,OK
396500,TIGER 반도체TOP10,5,042700,한미반도체,405,4.55,OK
396500,TIGER 반도체TOP10,6,007660,이수페타시스,756,4.11,OK
396500,TIGER 반도체TOP10,7,240810,원익IPS,461,3.14,OK
396500,TIGER 반도체TOP10,8,000990,DB하이텍,414,2.50,OK
396500,TIGER 반도체TOP10,9,039030,이오테크닉스,112,2.20,OK
396500,TIGER 반도체TOP10,10,058470,리노공업,552,2.18,OK
379810,KODEX 미국나스닥100,,,,,,EMPTY_NO_TABLE
488770,KODEX 머니마켓액티브,,,,,,EMPTY_NO_TABLE
278530,KODEX 200TR,1,005930,삼성전자,"7,566",32.71,OK
278530,KODEX 200TR,2,000660,SK하이닉스,899,28.18,OK
278530,KODEX 200TR,3,402340,SK스퀘어,149,2.94,OK
278530,KODEX 200TR,4,009150,삼성전기,91,1.99,OK
278530,KODEX 200TR,5,005380,현대차,222,1.67,OK
278530,KODEX 200TR,6,105560,KB금융,494,1.56,OK
278530,KODEX 200TR,7,055550,신한지주,669,1.23,OK
278530,KODEX 200TR,8,000270,기아,397,0.97,OK
278530,KODEX 200TR,9,028260,삼성물산,157,0.96,OK
278530,KODEX 200TR,10,086790,하나금융지주,404,0.91,OK
459580,KODEX CD금리액티브(합성),1,488770,KODEX 머니마켓액티브,103,-,OK
459580,KODEX CD금리액티브(합성),2,0117L0,KODEX 26-12 금융채(AA-이상)액티브,497,-,OK
381180,TIGER 미국필라델피아반도체나스닥,,,,,,EMPTY_NO_TABLE
0167A0,SOL AI반도체TOP2플러스,1,000660,SK하이닉스,128,25.56,OK
0167A0,SOL AI반도체TOP2플러스,2,005930,삼성전자,895,24.65,OK
0167A0,SOL AI반도체TOP2플러스,3,402340,SK스퀘어,128,16.08,OK
0167A0,SOL AI반도체TOP2플러스,4,009150,삼성전기,107,14.93,OK
0167A0,SOL AI반도체TOP2플러스,5,007660,이수페타시스,512,5.52,OK
0167A0,SOL AI반도체TOP2플러스,6,240810,원익IPS,223,3.01,OK
0167A0,SOL AI반도체TOP2플러스,7,353200,대덕전자,236,2.91,OK
0167A0,SOL AI반도체TOP2플러스,8,319660,피에스케이,129,2.58,OK
0167A0,SOL AI반도체TOP2플러스,9,089970,브이엠,163,1.70,OK
0167A0,SOL AI반도체TOP2플러스,10,095610,테스,81,1.63,OK
122630,KODEX 레버리지,1,069500,KODEX 200,"16,401",23.58,OK
122630,KODEX 레버리지,2,005930,삼성전자,"5,710",19.20,OK
122630,KODEX 레버리지,3,000660,SK하이닉스,678,16.53,OK
122630,KODEX 레버리지,4,278530,KODEX 200TR,"17,356",9.01,OK
122630,KODEX 레버리지,5,402340,SK스퀘어,113,1.73,OK
122630,KODEX 레버리지,6,152100,PLUS 200,"1,157",1.69,OK
122630,KODEX 레버리지,7,009150,삼성전기,69,1.18,OK
122630,KODEX 레버리지,8,005380,현대차,168,0.99,OK
122630,KODEX 레버리지,9,105560,KB금융,372,0.92,OK
122630,KODEX 레버리지,10,055550,신한지주,505,0.72,OK
091160,KODEX 반도체,1,000660,SK하이닉스,"1,364",38.67,OK
091160,KODEX 반도체,2,005930,삼성전자,"5,584",21.84,OK
091160,KODEX 반도체,3,042700,한미반도체,"1,743",5.50,OK
091160,KODEX 반도체,4,036930,주성엔지니어링,"1,294",3.63,OK
091160,KODEX 반도체,5,240810,원익IPS,"1,366",2.62,OK
